Breakout,Agency Operated,Contractor Operated,Security ATO,Systems in Ongoing Authorization
Administrative Conference of the United States - H,1,0,1,1
Administrative Conference of the United States - M,0,0,0,0
Administrative Conference of the United States - L,0,0,0,0
Advisory Council on Historic Preservation - H,0,0,0,0
Advisory Council on Historic Preservation - M,1,0,1,0
Advisory Council on Historic Preservation - L,0,1,1,0
African Development Foundation - H,0,0,0,0
African Development Foundation - M,0,3,3,0
African Development Foundation - L,1,0,1,0
American Battle Monuments Commission - H,0,0,0,0
American Battle Monuments Commission - M,2,0,2,2
American Battle Monuments Commission - L,0,0,0,0
Armed Forces Retirement Home - H,0,0,0,0
Armed Forces Retirement Home - M,1,2,3,3
Armed Forces Retirement Home - L,0,0,0,0
Barry Goldwater Scholarship and Excellence in Education Foundation - H,1,0,1,1
Barry Goldwater Scholarship and Excellence in Education Foundation - M,0,0,0,0
Barry Goldwater Scholarship and Excellence in Education Foundation - L,0,0,0,0
Board of Governors of the Federal Reserve - H,0,0,0,0
Board of Governors of the Federal Reserve - M,159,101,260,0
Board of Governors of the Federal Reserve - L,28,0,28,0
Chemical Safety Board - H,0,0,0,0
Chemical Safety Board - M,2,0,0,0
Chemical Safety Board - L,2,0,0,0
Christopher Columbus Fellowship Foundation - H,0,0,0,0
Christopher Columbus Fellowship Foundation - M,0,0,0,0
Christopher Columbus Fellowship Foundation - L,0,0,0,0
Commission of Fine Arts - H,0,0,0,0
Commission of Fine Arts - M,2,4,4,0
Commission of Fine Arts - L,0,0,0,0
Commission on Civil Rights - H,0,0,0,0
Commission on Civil Rights - M,1,2,3,1
Commission on Civil Rights - L,0,0,0,0
Commodity Futures Trading Commission - H,0,0,0,0
Commodity Futures Trading Commission - M,7,1,8,8
Commodity Futures Trading Commission - L,2,0,2,2
Consumer Financial Protection Bureau - H,0,0,0,0
Consumer Financial Protection Bureau - M,25,77,96,95
Consumer Financial Protection Bureau - L,2,41,19,17
Consumer Product Safety Commission - H,0,0,0,0
